name,number_of_entries,label_1_count,label_2_count
/media/gant/Expansion/tpc_root_raw/DATA_ROOT/CoBo_2018-06-19T13-01-45.706_0051.root,1927,22,179
/media/gant/Expansion/tpc_root_raw/DATA_ROOT/CoBo_2018-06-19T13-01-45.706_0061.root,1927,14,160
/media/gant/Expansion/tpc_root_raw/DATA_ROOT/CoBo_2018-06-19T13-01-45.706_0071.root,1927,18,183
/media/gant/Expansion/tpc_root_raw/DATA_ROOT/CoBo_2018-06-19T15-13-33.941_0001.root,1927,16,207
/media/gant/Expansion/tpc_root_raw/DATA_ROOT/CoBo_2018-06-19T15-13-33.941_0011.root,1363,10,144
/media/gant/Expansion/tpc_root_raw/DATA_ROOT/CoBo_2018-06-19T15-41-12.451_0009.root,1927,10,261
/media/gant/Expansion/tpc_root_raw/DATA_ROOT/CoBo_2018-06-19T15-41-12.451_0019.root,1927,20,258
/media/gant/Expansion/tpc_root_raw/DATA_ROOT/CoBo_2018-06-20T10-35-30.853_0005.root,1927,15,142
/media/gant/Expansion/tpc_root_raw/DATA_ROOT/CoBo_2018-06-20T10-51-39.459_0002.root,1927,15,191
/media/gant/Expansion/tpc_root_raw/DATA_ROOT/CoBo_2018-06-20T10-51-39.459_0012.root,1927,22,194
/media/gant/Expansion/tpc_root_raw/DATA_ROOT/CoBo_2018-06-20T11-10-59.218_0008.root,1927,11,122
/media/gant/Expansion/tpc_root_raw/DATA_ROOT/CoBo_2018-06-20T11-39-38.751_0004.root,1927,15,99
/media/gant/Expansion/tpc_root_raw/DATA_ROOT/CoBo_2018-06-20T12-14-15.497_0001.root,1927,12,101
/media/gant/Expansion/tpc_root_raw/DATA_ROOT/CoBo_2018-06-20T13-10-47.305_0000.root,282,1,11
/media/gant/Expansion/tpc_root_raw/DATA_ROOT/CoBo_2018-06-20T13-12-47.629_0008.root,1927,14,106
/media/gant/Expansion/tpc_root_raw/DATA_ROOT/CoBo_2018-06-20T13-41-41.769_0004.root,1927,18,75
/media/gant/Expansion/tpc_root_raw/DATA_ROOT/CoBo_2018-06-20T14-03-11.466_0005.root,1927,23,220
/media/gant/Expansion/tpc_root_raw/DATA_ROOT/CoBo_2018-06-20T14-17-17.236_0004.root,1927,8,185
/media/gant/Expansion/tpc_root_raw/DATA_ROOT/CoBo_2018-06-20T15-35-27.239_0001.root,1503,10,1459
/media/gant/Expansion/tpc_root_raw/DATA_ROOT/CoBo_2018-06-20T15-59-13.008_0000.root,72,0,69
/media/gant/Expansion/tpc_root_raw/DATA_ROOT/CoBo_2018-06-20T16-15-36.255_0001.root,125,0,124
